AREANM,AREACD,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10
Charnwood,E07000130,0.318759925,0.312593961,0.290110879,0.291494914,0.292319566,0.315665045,0.303383634,0.299257803,0.285567653,0.290825746
Harborough,E07000131,0.377907329,0.367140924,0.356375192,0.349954943,0.339638908,0.374926815,0.366651885,0.359823714,0.338191653,0.334277678
Hinckley and Bosworth,E07000132,0.207171953,0.209685716,0.213821002,0.192613532,0.214453911,0.199480064,0.209059562,0.204636023,0.19097686,0.217118649
Melton,E07000133,0.362762969,0.355499306,0.34554963,0.333098881,0.33111556,0.361217123,0.353100693,0.347462903,0.328433853,0.322896962
North West Leicestershire,E07000134,0.239711764,0.249874965,0.245829433,0.223596598,0.209945704,0.240603561,0.243616289,0.238826709,0.217121715,0.205323168
Oadby and Wigston,E07000135,0.233693683,0.220399846,0.212108398,0.198888286,0.18985591,0.232975625,0.221376652,0.212726977,0.194113127,0.187732763
Boston,E07000136,0.206305076,0.195897826,0.195322807,0.188076014,0.194568138,0.202422018,0.197999507,0.18923315,0.188457125,0.191391424
East Lindsey,E07000137,0.172735357,0.171863901,0.167776974,0.154332222,0.134682385,0.162163116,0.177286627,0.168711213,0.154328071,0.151388681
Lincoln,E07000138,0.223600284,0.215049707,0.212302858,0.204585356,0.213469236,0.226916091,0.213436285,0.216497705,0.20658473,0.206577506
North Kesteven,E07000139,0.215339437,0.207589115,0.201922045,0.197928308,0.185764712,0.215734218,0.207589322,0.199714829,0.185574796,0.188142893
South Holland,E07000140,0.234110441,0.232334721,0.248796596,0.242422894,0.230387291,0.236168346,0.237943963,0.244831194,0.233150255,0.224423722
South Kesteven,E07000141,0.223563848,0.218673501,0.218424424,0.209740132,0.217470957,0.223198164,0.216512884,0.220737893,0.219263609,0.215085353
West Lindsey,E07000142,0.232490297,0.225947009,0.225599551,0.219786376,0.217467928,0.226411474,0.225734887,0.219882069,0.218787544,0.21425976
Breckland,E07000143,0.184417556,0.16123373,0.166009873,0.147017166,0.137101485,0.17812508,0.159931631,0.160900193,0.144044869,0.140778156
Broadland,E07000144,0.311137059,0.307329865,0.300355367,0.286182025,0.272447871,0.313981452,0.30669807,0.283886677,0.28358947,0.272120079
Great Yarmouth,E07000145,0.282435452,0.271342902,0.264086338,0.259339119,0.249671402,0.279099554,0.269445874,0.264198017,0.263577368,0.244027064
King's Lynn and West Norfolk,E07000146,0.228519213,0.227350518,0.219566054,0.187708486,0.181570918,0.230304791,0.230690216,0.209792279,0.174736316,0.182258345
North Norfolk,E07000147,0.277522777,0.272418927,0.281586106,0.266197681,0.251768364,0.278602111,0.269288515,0.281846236,0.260698898,0.25533413
Norwich,E07000148,0.37121518,0.382323804,0.394554068,0.413942056,0.414471005,0.373917416,0.381078559,0.40431973,0.41207722,0.405807323
South Norfolk,E07000149,0.250225598,0.252680134,0.251282101,0.247560962,0.246315064,0.253995396,0.251035114,0.248025725,0.24734934,0.24412178
Corby,E07000150,0.318449673,0.336802926,0.314481348,0.308738845,0.29137449,0.335410613,0.334950023,0.330806535,0.297672961,0.302450212
Daventry,E07000151,0.284706624,0.289542304,0.287099068,0.310748988,0.307095387,0.284847084,0.288175201,0.30973495,0.312535733,0.30834064
East Northamptonshire,E07000152,0.281140266,0.280140878,0.267790316,0.254445243,0.256977114,0.284015665,0.269545259,0.26864226,0.261714703,0.267206071
Kettering,E07000153,0.278642856,0.266075382,0.272847373,0.249905688,0.275972496,0.278228726,0.260462597,0.282371937,0.261666185,0.276518624
Northampton,E07000154,0.186343993,0.186106788,0.188738473,0.201152361,0.196821973,0.181396709,0.183671342,0.196604449,0.197021869,0.194573735
South Northamptonshire,E07000155,0.256389443,0.248147059,0.267099701,0.261771354,0.243575723,0.257957667,0.252912742,0.260962945,0.258615964,0.23883152
